"","Brewery_id","Name.x","Beer_ID","ABV","IBU","Style","Ounces","Name.y","City","State","region"
"158",23,"Feel Like Maplin' Love",2613,0.055,NA,"Oatmeal Stout",16,"Four Fathers Brewing ","Valparaiso","IN","Midwest"
"159",23,"Father's Beer",2612,0.05,NA,"Belgian Pale Ale",16,"Four Fathers Brewing ","Valparaiso","IN","Midwest"
"160",23,"The 26th",2611,0.06,NA,"American IPA",16,"Four Fathers Brewing ","Valparaiso","IN","Midwest"
"161",23,"The Gadget",2610,0.064,90,"American IPA",16,"Four Fathers Brewing ","Valparaiso","IN","Midwest"
"162",24,"Tribute",2609,0.058,58,"American Pale Ale (APA)",12,"Indiana City Brewing","Indianapolis","IN","Midwest"
"163",25,"Wrath of Pele",2608,0.065,NA,"American Brown Ale",16,"Burn 'Em Brewing","Michigan City","IN","Midwest"
"164",25,"Black Beer'd",2607,0.068,NA,"American Black Ale",16,"Burn 'Em Brewing","Michigan City","IN","Midwest"
"165",25,"Mr. Tea",2606,0.078,NA,"Fruit / Vegetable Beer",24,"Burn 'Em Brewing","Michigan City","IN","Midwest"
"166",25,"Pale Alement",2478,0.055,40,"American Pale Ale (APA)",12,"Burn 'Em Brewing","Michigan City","IN","Midwest"
"167",25,"Hopkick Dropkick",2471,0.099,115,"American Double / Imperial IPA",12,"Burn 'Em Brewing","Michigan City","IN","Midwest"
"168",25,"Kreamed Corn",2470,0.06,NA,"Cream Ale",12,"Burn 'Em Brewing","Michigan City","IN","Midwest"
"169",25,"Coconoats",2464,0.065,NA,"American Pale Wheat Ale",16,"Burn 'Em Brewing","Michigan City","IN","Midwest"
"170",25,"Joey Wheat",2160,0.068,16,"American Pale Wheat Ale",16,"Burn 'Em Brewing","Michigan City","IN","Midwest"
"171",25,"3:33 Black IPA",2158,0.072,86,"American IPA",16,"Burn 'Em Brewing","Michigan City","IN","Midwest"
"172",25,"MCA",2072,0.068,NA,"American IPA",16,"Burn 'Em Brewing","Michigan City","IN","Midwest"
"173",25,"Pale Alement",2054,0.055,40,"American Pale Ale (APA)",16,"Burn 'Em Brewing","Michigan City","IN","Midwest"
"174",26,"Tip Off",2605,0.052,29,"Altbier",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"175",26,"Java Mac",2215,0.054,NA,"Scottish Ale",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"176",26,"Cowbell",2164,0.054,23,"American Porter",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"177",26,"Hop Up Offa That Brett (2014)",2085,0.058,20,"Belgian Pale Ale",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"178",26,"PV Muckle (2013)",2084,0.083,23,"Scotch Ale / Wee Heavy",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
"179",26,"Bourbon Barrel Batch 666: Sympathy for the Devil",2083,0.099,36,"Belgian Dark Ale",16,"Sun King Brewing Company","Indianapolis","IN","Midwest"
